ORDER_ID,ORDER_DATE,CUSTOMER_NAME,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0034,2026-03-14,Naledi Ndlovu,Denim Jacket,Fashion,2,115.18,230.36
O0035,2026-06-30,Kagiso Fourie,Perfume,Beauty,3,890.15,2670.45
O0036,2026-01-03,Michael Els,Moisturizer,Beauty,5,683.94,3419.70
O0037,2026-08-29,Sipho Els,USB-C Cable,Electronics,2,151.71,303.42
O0038,2026-08-16,Naledi Coetzee,USB-C Cable,Electronics,1,151.71,151.71
O0039,2026-02-09,Lerato Mokoena,Perfume,Beauty,3,890.15,2670.45
O0040,2026-02-23,Nomvula Pretorius,Face Mask,Beauty,3,725.36,2176.08
O0041,2026-05-10,Ayanda Mokoena,Storage Box,Home,4,872.78,3491.12
O0042,2026-01-24,Naledi Coetzee,Wireless Earbuds,Electronics,4,585.66,2342.64
O0043,2026-01-01,Kagiso Naidoo,Wireless Earbuds,Electronics,3,585.66,1756.98
O0044,2026-06-13,Fatima Sithole,Smart Watch,Electronics,3,103.56,310.68
O0045,2026-05-22,Nomvula Coetzee,Cap,Fashion,4,391.89,1567.56
O0046,2026-01-29,Ayanda Ndlovu,Bluetooth Speaker,Electronics,1,1087.57,1087.57
O0047,2026-05-20,Grace Van der Merwe,Smart Watch,Electronics,1,103.56,103.56
O0048,2026-05-22,Aisha Ndlovu,Lip Balm,Beauty,2,1068.27,2136.54
O0049,2026-01-11,Naledi Fourie,Smart Watch,Electronics,3,103.56,310.68
O0050,2026-08-19,Aisha Ndlovu,Wireless Earbuds,Electronics,3,585.66,1756.98
O0051,2026-06-20,Ayanda Mokoena,Desk Lamp,Home,1,88.05,88.05
O0052,2026-08-15,Pieter Coetzee,Perfume,Beauty,4,890.15,3560.60
O0053,2026-08-25,Michael Els,Smart Watch,Electronics,2,103.56,207.12
O0054,2026-08-14,Nomvula Coetzee,Coffee Mug,Home,4,700.39,2801.56
O0055,2026-07-08,Naledi Dlamini,Coffee Mug,Home,3,700.39,2101.17
O0056,2026-03-10,Chloe Dlamini,Desk Lamp,Home,2,88.05,176.10
O0057,2026-04-08,Grace Van der Merwe,USB-C Cable,Electronics,1,151.71,151.71
O0058,2026-02-21,Michael Naidoo,Desk Lamp,Home,4,88.05,352.20
O0059,2026-07-30,Pieter Coetzee,Kitchen Scale,Home,2,145.94,291.88
O0060,2026-06-18,David Fourie,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0061,2026-03-13,Pieter Botha,Sneakers,Fashion,1,155.49,155.49
O0062,2026-03-31,Fatima Sithole,Storage Box,Home,5,872.78,4363.90
O0063,2026-03-26,Pieter Botha,Perfume,Beauty,1,890.15,890.15
O0064,2026-02-15,Lerato Fourie,Storage Box,Home,5,872.78,4363.90
O0065,2026-01-28,Naledi Coetzee,Wireless Earbuds,Electronics,5,585.66,2928.30
O0066,2026-07-06,Naledi Fourie,Denim Jacket,Fashion,3,115.18,345.54
O0067,2026-05-11,Naledi Fourie,Face Mask,Beauty,1,725.36,725.36
O0068,2026-02-18,Kagiso Van der Merwe,Lip Balm,Beauty,3,1068.27,3204.81
O0069,2026-01-01,Sipho Els,Sunglasses,Fashion,5,655.85,3279.25
O0070,2026-04-04,Ayanda Coetzee,Throw Blanket,Home,4,739.05,2956.20
O0071,2026-06-09,Michael Els,Sneakers,Fashion,3,155.49,466.47
O0072,2026-07-04,Karabo Nkosi,USB-C Cable,Electronics,3,151.71,455.13
O0073,2026-06-20,Sam Van der Merwe,Kitchen Scale,Home,4,145.94,583.76
O0074,2026-06-28,Naledi Dlamini,Backpack,Fashion,3,450.08,1350.24
O0075,2026-02-19,Ayanda Ndlovu,Smart Watch,Electronics,4,103.56,414.24
O0076,2026-06-23,Karabo Nkosi,Backpack,Fashion,2,450.08,900.16
O0077,2026-03-19,Michael Els,Lip Balm,Beauty,4,1068.27,4273.08
O0078,2026-03-19,Ayanda Ndlovu,Bluetooth Speaker,Electronics,3,1087.57,3262.71
O0079,2026-07-21,Ayanda Mokoena,Sunglasses,Fashion,5,655.85,3279.25
O0080,2026-04-30,Lerato Khumalo,Sneakers,Fashion,4,155.49,621.96
O0081,2026-05-11,Kagiso Fourie,Throw Blanket,Home,4,739.05,2956.20
O0082,2026-06-18,Lerato Mokoena,Coffee Mug,Home,1,700.39,700.39
O0083,2026-06-19,Nomvula Pretorius,Moisturizer,Beauty,5,683.94,3419.70
O0084,2026-07-29,Kagiso Mbeki,Power Bank,Electronics,2,357.65,715.30
O0085,2026-02-27,Fatima Botha,Kitchen Scale,Home,2,145.94,291.88
O0086,2026-01-12,Zanele Van der Merwe,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0087,2026-08-06,Michael Naidoo,Face Mask,Beauty,1,725.36,725.36
O0088,2026-08-15,Sarah Pretorius,Sunglasses,Fashion,5,655.85,3279.25
O0089,2026-05-07,Zanele Mbeki,Backpack,Fashion,4,450.08,1800.32
O0090,2026-06-17,Naledi Ndlovu,Smart Watch,Electronics,1,103.56,103.56
O0091,2026-07-19,David Mbeki,USB-C Cable,Electronics,4,151.71,606.84
O0092,2026-07-25,David Fourie,Coffee Mug,Home,5,700.39,3501.95
O0093,2026-05-23,Sarah Pretorius,Wireless Earbuds,Electronics,2,585.66,1171.32
O0094,2026-02-04,Lerato Fourie,Cap,Fashion,4,391.89,1567.56
O0095,2026-05-24,Karabo Nkosi,Moisturizer,Beauty,5,683.94,3419.70
O0096,2026-06-06,Naledi Dlamini,Cap,Fashion,5,391.89,1959.45
O0097,2026-04-25,Naledi Fourie,Perfume,Beauty,2,890.15,1780.30
O0098,2026-04-26,Lerato Mokoena,Shampoo,Beauty,3,623.66,1870.98
O0099,2026-08-04,David Mbeki,Desk Lamp,Home,3,88.05,264.15
O0100,2026-05-05,Fatima Sithole,Moisturizer,Beauty,2,683.94,1367.88
O0101,2026-01-20,Kagiso Naidoo,Cap,Fashion,3,391.89,1175.67
O0102,2026-03-27,Naledi Ndlovu,Storage Box,Home,3,872.78,2618.34
O0103,2026-02-05,Ayanda Coetzee,Power Bank,Electronics,2,357.65,715.30
O0104,2026-06-27,David Fourie,Backpack,Fashion,2,450.08,900.16
O0105,2026-01-17,Sipho Ndlovu,Throw Blanket,Home,4,739.05,2956.20
O0106,2026-05-19,Chloe Dlamini,Sneakers,Fashion,4,155.49,621.96
O0107,2026-02-22,Chloe Dlamini,Wireless Earbuds,Electronics,4,585.66,2342.64
O0108,2026-08-31,Kagiso Van der Merwe,Lip Balm,Beauty,1,1068.27,1068.27
O0109,2026-04-08,David Mbeki,Lip Balm,Beauty,4,1068.27,4273.08
O0110,2026-03-18,Zanele Nkosi,Denim Jacket,Fashion,4,115.18,460.72
O0111,2026-07-11,Chloe Dlamini,Perfume,Beauty,5,890.15,4450.75
O0112,2026-05-05,Lerato Khumalo,Desk Lamp,Home,2,88.05,176.10
O0113,2026-05-05,Kagiso Naidoo,Sunglasses,Fashion,1,655.85,655.85
O0114,2026-06-21,Kagiso Van der Merwe,Sneakers,Fashion,4,155.49,621.96
O0115,2026-08-04,Johan Mahlangu,Coffee Mug,Home,4,700.39,2801.56
O0116,2026-05-17,Kagiso Dlamini,Face Mask,Beauty,1,725.36,725.36
O0117,2026-05-25,Pieter Botha,Lip Balm,Beauty,1,1068.27,1068.27
O0118,2026-02-04,David Fourie,Sunglasses,Fashion,4,655.85,2623.40
O0119,2026-03-08,Aisha Fourie,Wireless Earbuds,Electronics,4,585.66,2342.64
O0120,2026-04-27,Naledi Dlamini,Throw Blanket,Home,3,739.05,2217.15
O0121,2026-03-13,Kagiso Mbeki,Backpack,Fashion,4,450.08,1800.32
O0122,2026-05-01,Naledi Coetzee,Power Bank,Electronics,1,357.65,357.65
O0123,2026-01-14,Lerato Mokoena,Perfume,Beauty,3,890.15,2670.45
O0124,2026-07-19,David Fourie,Power Bank,Electronics,1,357.65,357.65
O0125,2026-09-01,David Mbeki,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0126,2026-06-09,Zanele Mbeki,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0127,2026-05-02,Naledi Ndlovu,Smart Watch,Electronics,1,103.56,103.56
O0128,2026-04-30,Zanele Mokoena,Throw Blanket,Home,3,739.05,2217.15
O0129,2026-02-12,Fatima Sithole,Denim Jacket,Fashion,5,115.18,575.90
O0130,2026-07-19,Lerato Khumalo,USB-C Cable,Electronics,2,151.71,303.42
O0131,2026-05-29,Sipho Els,USB-C Cable,Electronics,1,151.71,151.71
O0132,2026-06-23,Sipho Els,Lip Balm,Beauty,4,1068.27,4273.08
O0133,2026-01-20,Pieter Botha,Throw Blanket,Home,5,739.05,3695.25
O0134,2026-01-27,Grace Van der Merwe,Desk Lamp,Home,3,88.05,264.15
O0135,2026-07-26,Fatima Botha,Face Mask,Beauty,1,725.36,725.36
O0136,2026-03-30,Zanele Mokoena,Wireless Earbuds,Electronics,5,585.66,2928.30
O0137,2026-01-18,Naledi Fourie,Denim Jacket,Fashion,5,115.18,575.90
O0138,2026-01-04,Michael Mbeki,Sneakers,Fashion,4,155.49,621.96
O0139,2026-04-21,Zanele Dlamini,USB-C Cable,Electronics,3,151.71,455.13
O0140,2026-07-01,Nomvula Ndlovu,Cap,Fashion,2,391.89,783.78
O0141,2026-07-07,Naledi Fourie,Coffee Mug,Home,5,700.39,3501.95
O0142,2026-06-07,Michael Mbeki,Storage Box,Home,5,872.78,4363.90
O0143,2026-04-30,Fatima Sithole,Shampoo,Beauty,4,623.66,2494.64
O0144,2026-03-10,Johan Mahlangu,Lip Balm,Beauty,3,1068.27,3204.81
O0145,2026-03-13,Naledi Ndlovu,Power Bank,Electronics,4,357.65,1430.60
O0146,2026-05-26,Naledi Ndlovu,Cap,Fashion,5,391.89,1959.45
O0147,2026-03-28,Karabo Nkosi,Backpack,Fashion,1,450.08,450.08
O0148,2026-02-16,Zanele Dlamini,Sneakers,Fashion,4,155.49,621.96
O0149,2026-07-24,Ayanda Mokoena,Denim Jacket,Fashion,3,115.18,345.54
O0150,2026-08-14,Kagiso Mbeki,Storage Box,Home,5,872.78,4363.90
